mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.774378935496012,1.5880671685044037,1.154711405436198,0.29162985335662606,50,5,2,0.8,20,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 20}",-33.33609806542558,-25.527489951659266,-27.482506341386618,-28.782031452823826,3.3176461841729687,3,-16.29080378980467,-16.029257261531953,-15.849361480520823,-16.056474177285818,0.18124274419284306
3.933346668879191,1.7914869090409593,1.2261834939320881,0.3178663863111136,50,10,4,0.8,20,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 20}",-33.910579761567924,-26.17284436019769,-28.37420692549733,-29.485877015754316,3.2552516623228507,5,-20.047463763413024,-19.162888417378294,-18.468155249769648,-19.226169143520323,0.6463008499877897
8.45278533299764,7.215151283386792,1.9278004169464111,1.0338362728632566,50,5,1,0.8,15,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 15}",-34.18950688557007,-27.31750644819562,-29.525908812505854,-30.344307382090516,2.864545300374019,7,-21.325915385138835,-21.798277291612678,-22.734887842816498,-21.953026839856005,0.5855262098515567
8.356428782145182,0.7690181589823772,3.7696061929066977,1.2197884249785471,50,10,2,sqrt,20,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-37.23161680080198,-31.11304328374116,-32.73257955309673,-33.69241321254662,2.588461056468269,11,-23.417388239271357,-23.50002805742939,-23.48204884520294,-23.466488380634562,0.03548643806194096
7.038956721623738,1.4884930968154393,2.792156457901001,1.408175623555307,50,10,2,sqrt,,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-37.28714645539015,-31.196717019641742,-32.29213081213854,-33.591998095723476,2.6508582124988047,10,-22.39228545733814,-21.94855085483625,-20.930122451940974,-21.756986254705122,0.6121017946962565
3.422553300857544,2.2526337097411737,1.7058098316192627,0.8590135485207466,50,5,1,sqrt,15,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",-36.98613222780027,-31.86173838863081,-33.227655094443925,-34.02517523695834,2.1666997696983974,13,-24.335142940152284,-25.496043274007505,-26.32978108532452,-25.3869890998281,0.8179506677151532
2.4431150754292807,0.41644329817831405,1.5114022890726726,0.690336386910439,150,2,4,sqrt,20,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20}",-37.019023051266345,-31.565670056448166,-32.57837001645047,-33.721021041388326,2.3684035755640336,12,-24.483310569825072,-24.398298448431607,-23.983800578921016,-24.2884698657259,0.21821135921792412
1.662914514541626,0.42314399144552134,1.4104066689809163,0.3253676536909971,100,2,4,sqrt,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10}",-37.781294181414246,-34.05878201919374,-35.71023514795063,-35.85010378285288,1.5229240790317282,15,-31.17309319229382,-32.07807384227725,-32.1159807399985,-31.789049258189852,0.43582155335970835
14.24073338508606,8.133608321207593,3.2485801378885903,1.1910888765855814,100,10,2,0.8,20,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8, 'max_depth': 20}",-33.64203891145256,-25.709814574742122,-27.759389601003182,-29.037081029065956,3.3619852538824087,4,-18.59972032868916,-17.956690316033548,-17.38591855550573,-17.98077640007614,0.4958250973405778
16.94654941558838,5.499488576662466,3.8786779244740806,1.5669442844496317,100,5,1,0.8,15,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 15}",-34.294392839286516,-27.255045074770447,-29.477529835355,-30.34232258313732,2.938140467473945,6,-21.351559272098566,-21.79851344819188,-22.6215388430936,-21.923870521128013,0.5259897492584934
