Model,MAE,RMSE,R2
Random Forest,11.814771710526315,18.24391438531447,0.8287525324413986
SVR,15.334796668208048,21.727697428810327,0.7571067105941294
Decision Tree,14.717368421052631,23.779369652129798,0.7090698151574266
XGBoost,21.140262603759766,27.66339949960959,0.606269359588623
Gradient Boosting,22.94407591493404,29.891039941054043,0.5403046015693471
Linear Regression,24.792410566790924,32.008040528577645,0.47288389761641103
